temperatura,epsilon,M,m,ch,chi
1.79,-0.638112,-4.68,0.001872,3515.6364071798325,11374.630942879945
1.8,-0.638944,-11.48,0.004592000000000001,2482.561854371378,9092.31836734694
1.81,-0.624448,-0.52,0.00020800000000000001,2324.1253132613506,9343.89987597249
1.82,-0.623616,27.48,0.010992,2767.2020287404903,6536.695223144202
1.83,-0.6240319999999999,-2.48,0.000992,1817.3721374243505,6300.66332106613
1.84,-0.61712,-3.0,0.0012,3108.7245862428144,5182.897071872227
1.85,-0.618688,6.96,0.002784,1879.793563005918,7235.8512961941515
1.86,-0.605664,11.8,0.00472,2051.757310624562,8549.50625411455
1.87,-0.604608,-10.72,0.004288,2115.485844313418,8942.028593255482
1.88,-0.605056,11.2,0.00448,1713.4653227520073,6348.328267477204
1.89,-0.6024,6.36,0.0025440000000000003,1705.9649928670551,6259.599611273082
1.9,-0.597568,3.0,0.0012,1936.9759737690088,5858.238453276047
1.91,-0.591008,-22.48,0.008992,1579.4214377179285,5178.036969761726
1.92,-0.5835199999999999,11.84,0.004736,1476.8016581632653,8405.173469387755
1.93,-0.587808,-13.04,0.005215999999999999,2030.7488325943277,3196.1290049698637
1.94,-0.57328,4.88,0.001952,1252.5133339551146,4784.696823059121
1.95,-0.5794560000000001,-6.0,0.0024,1743.791114868038,5904.175824175824
1.96,-0.57392,1.12,0.00044800000000000005,1280.8013667774483,6711.133694294044
1.97,-0.570336,-13.48,0.005392,2300.5326452258864,4906.148140474464
1.98,-0.561376,16.64,0.0066560000000000005,1283.5025164029491,3590.883529169244
1.99,-0.5705600000000001,8.92,0.003568,1977.274331868552,6332.16777766383
2.0,-0.55584,-15.0,0.006,1936.0,4535.775510204082
2.01,-0.5584640000000001,7.36,0.002944,1727.1684020753178,4635.552035739669
2.02,-0.55072,7.44,0.0029760000000000003,1624.0104511562492,5583.434229137199
2.03,-0.5472,-4.84,0.001936,1817.8711704051182,5971.978687041319
2.04,-0.53632,-6.52,0.0026079999999999996,2036.8931886480084,5659.128451380552
2.05,-0.54064,5.04,0.002016,1781.0584078961745,4308.550721752116
2.06,-0.540928,9.96,0.0039840000000000006,1372.548913994856,5794.134337230037
2.07,-0.5325439999999999,-6.8,0.0027199999999999998,1430.7266952149482,5414.413881494627
2.08,-0.52784,-5.32,0.002128,1801.148713923439,4639.1373626373625
2.09,-0.522528,19.2,0.007679999999999999,1540.3833638031574,5384.317937701398
2.1,-0.529536,10.64,0.004256,1722.2394372715069,5033.037123420798
2.11,-0.522848,11.0,0.0044,1452.528387199987,3800.5416384563305
2.12,-0.5201600000000001,-7.64,0.0030559999999999997,1405.4315211310582,4291.4663072776275
2.13,-0.524704,2.12,0.000848,1665.0635761809851,5393.61195745904
2.14,-0.511808,-5.72,0.002288,1201.9429555384033,4904.749952317375
2.15,-0.5080319999999999,-25.0,0.01,936.2884736371566,4219.326056003797
2.16,-0.517792,-6.24,0.002496,1502.602110803169,6194.606198034768
2.17,-0.50944,0.0,0.0,1012.8280750173034,4539.076460077118
2.18,-0.49523199999999995,-2.56,0.001024,1641.7555726945268,3645.9868938401046
2.19,-0.5006079999999999,-1.48,0.000592,1133.5250707526395,4062.8317957319923
2.2,-0.49945600000000007,-12.16,0.004864,1520.7097318266149,4450.155102040816
2.21,-0.493216,-5.92,0.002368,1335.7542947565382,4992.295502816511
2.22,-0.492896,-3.48,0.001392,1262.6075606770585,4281.7289943004225
2.23,-0.485472,20.68,0.008272,1169.3209029675536,3187.0127207833807
2.24,-0.492256,-27.28,0.010912,1139.0579446064141,4522.212827988337
2.25,-0.476192,-3.56,0.001424,1584.6187150415722,3304.4382766439903
2.26,-0.479968,12.44,0.0049759999999999995,1808.1405700348903,2495.6684124977423
2.27,-0.487712,12.44,0.0049759999999999995,919.3082872691858,2637.007282208038
2.28,-0.47292799999999996,6.56,0.002624,1137.566975081815,3459.508771929825
2.29,-0.47449600000000003,-17.76,0.007104000000000001,1376.478366942208,3516.024596738259
2.3,-0.463136,-7.8,0.00312,907.2748736545661,2907.2049689440996
2.31,-0.469792,15.36,0.006144,1264.962984125454,3813.1594663839564
2.32,-0.465728,-14.0,0.0056,1010.560799825281,2353.5538353272345
2.33,-0.459424,-13.4,0.00536,1462.7698097972263,4283.174213891565
2.34,-0.466816,-6.6,0.00264,966.9685625729583,4549.2586778301065
2.35,-0.46028800000000003,-0.4,0.00016,1035.1348564776747,3372.366478506296
2.36,-0.46096000000000004,26.28,0.010512,921.2987119582104,2841.0245589761334
2.37,-0.45936000000000005,-18.6,0.00744,709.3752418448552,3411.435460260053
2.38,-0.4488,17.36,0.006944,995.1159335282732,2684.7840850625967
2.39,-0.45324799999999993,7.84,0.003136,1447.8726684385351,2577.326616002049
2.4,-0.446144,-4.56,0.0018239999999999999,1228.7256235827665,3533.948299319728
2.41,-0.44732799999999995,10.2,0.004079999999999999,1003.08499495251,3168.5155389956813
2.42,-0.44134399999999996,-12.68,0.005072,1262.4720347807179,2294.0536346770114
2.43,-0.440384,-4.12,0.001648,781.6473416577929,3774.3451751070797
2.44,-0.43065600000000004,1.0,0.0004,838.8528429377665,3037.6881900301105
2.45,-0.439808,-1.32,0.000528,1100.9986655220184,3345.513369429404
2.46,-0.433472,-4.48,0.0017920000000000002,1153.1673863279202,4063.4186162269784
2.47,-0.435488,-25.52,0.010208,959.5040678173609,2319.990746096009
2.48,-0.427008,-7.8,0.00312,659.5638047102295,3808.179723502304
2.49,-0.431424,29.48,0.011792,958.800598673688,3621.5267601016303
2.5,-0.43392,-1.76,0.000704,960.574693877551,3701.462204081633
2.51,-0.422624,10.44,0.004176,958.638233471513,3187.2698593381583
2.52,-0.43216000000000004,-8.36,0.0033439999999999998,1326.9419634822937,3412.483965014577
2.53,-0.4176,-9.36,0.003744,940.6840428370883,3050.895539243366
2.54,-0.426208,-15.92,0.006368,953.1205674656247,3964.066206009963
2.55,-0.416,-11.44,0.004576,940.5487685270188,2388.3498999599838
2.56,-0.418944,10.12,0.0040479999999999995,772.5167410714286,2912.589923469388
2.57,-0.41395200000000004,13.96,0.005584,679.969138558541,3137.075518145001
2.58,-0.407008,-7.72,0.003088,826.5682620623514,2810.631862047144
2.59,-0.409792,7.08,0.002832,855.1236108402607,2281.1888740052004
2.6,-0.411232,7.32,0.002928,858.3977780461294,2886.5061224489796
2.61,-0.40883200000000003,12.0,0.0048,954.3872263310577,2645.1481742122137
2.62,-0.411296,7.68,0.003072,1032.5652969654734,1066.6683284000621
2.63,-0.408416,-8.68,0.003472,914.0166306659141,3124.923411189571
2.64,-0.39721599999999996,-11.32,0.004528,926.6889675980585,3105.727272727273
2.65,-0.3992,-9.84,0.003936,590.6379639787564,1825.6659222179437
2.66,-0.393312,16.72,0.0066879999999999995,686.112088568821,2515.3144084701544
2.67,-0.400096,-16.36,0.0065439999999999995,622.9690529580514,4027.742260949324
2.68,-0.394912,-4.52,0.001808,824.2088370211083,2335.961620469083
2.69,-0.38246399999999997,14.56,0.005824,1022.0826474064701,2551.918063879827
2.7,-0.402496,-0.48,0.000192,724.2941686962849,2836.7383219954645
2.71,-0.381696,-19.0,0.0076,889.7802456449143,2745.4627607500565
2.72,-0.37904,-14.68,0.005872,657.373243415013,1958.019807923169
2.73,-0.394432,9.6,0.0038399999999999997,955.2224158189622,2517.8739627719215
2.74,-0.3864,-1.92,0.000768,1152.5083153832688,1566.8082824370622
2.75,-0.390144,-3.28,0.001312,767.9015550683084,2863.303005565863
2.76,-0.388288,11.04,0.004416,718.7171276828315,2591.0227743271225
2.77,-0.384,-14.88,0.005952000000000001,600.5552007715467,2135.3074486112137
2.78,-0.381792,-10.0,0.004,640.7654143899681,1955.6012332990751
2.79,-0.380544,-1.96,0.000784,857.3717905862002,1871.3767829712533
2.8,-0.37984,5.76,0.002304,887.5468554768848,1862.3113702623907
2.81,-0.366496,-17.08,0.0068319999999999995,886.8163022354875,1893.7154477449346
2.82,-0.377952,0.2,8.0e-5,700.8467729931872,2154.363873208858
2.83,-0.372544,-6.52,0.0026079999999999996,771.6607111323347,1793.9459147616644
2.84,-0.372544,-1.16,0.00046399999999999995,724.942006161719,2299.4015521701635
2.85,-0.37008,-1.84,0.000736,518.7706107373697,1655.443752237737
2.86,-0.373504,9.28,0.0037119999999999996,798.9740529201069,1590.5671471385756
2.87,-0.367456,-0.48,0.000192,728.4381061727948,2385.525705752684
2.88,-0.362688,-1.96,0.000784,659.2057193247672,1532.2273242630388
2.89,-0.3568,14.36,0.005744,567.8249317231473,1542.6419038203517
2.9,-0.3632,13.56,0.005424,618.6609721177413,1855.4983814215343
2.91,-0.361536,10.96,0.004384000000000001,877.7785730794247,1721.9855529840802
2.92,-0.360448,23.52,0.009408,907.0155215398228,1656.1118255521383
2.93,-0.362336,1.4,0.00056,697.0537971155335,1538.9983979940098
2.94,-0.354464,3.36,0.001344,840.1042271691406,1395.5540746911006
2.95,-0.356064,-16.6,0.006640000000000001,525.8416711125703,1810.5984088550674
2.96,-0.363072,5.44,0.002176,703.7641060807084,1348.9817981246551
2.97,-0.35404800000000003,-15.72,0.006288,496.2640445083926,2294.290386861815
2.98,-0.343008,-10.96,0.004384000000000001,530.9479532545417,1885.1247774277497
2.99,-0.347328,-8.6,0.00344,717.3249443176113,1913.275544331445
3.0,-0.342368,19.24,0.007696,694.7475736961452,2556.511020408163
